common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,knowntraits,adult_length_cm,adult_body_mass_g,WOS_results,WOS_TS_results,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,first_assess,n_assessment,first_status
Bean Goose,Anser fabalis,Anatidae,Terrestrial,Aves,Terrestrial birds,3350,25.6,1093,5,1,2,LC,2016,0,0,0,1,1,6,NA,3350,12,37,0,0,0,0,4,0,0,1,1,1,0,1,0,3,0,0,0,0,0,1,1,4,2,0,2,4,1,1,1,5,4,1988,9,LR/lc
Pink-footed Goose,Anser brachyrhynchus,Anatidae,Terrestrial,Aves,Terrestrial birds,2645,40.9,1095,4.7,1,2,LC,2016,0,0,0,1,1,6,NA,2645,59,165,0,0,1,0,6,4,2,1,1,6,2,4,2,5,6,1,2,5,7,9,8,14,11,7,5,10,10,8,8,11,9,1988,9,LR/lc
Greater White-fronted Goose,Anser albifrons,Anatidae,Terrestrial,Aves,Terrestrial birds,2681,47,1095,5,1,2,LC,2016,0,0,0,1,1,6,NA,2681,52,163,0,0,1,1,7,2,1,2,5,4,3,3,7,4,5,5,4,9,4,9,3,10,5,8,12,12,10,5,3,12,7,1988,9,LR/lc
Lesser White-fronted Goose,Anser erythropus,Anatidae,Terrestrial,Aves,Terrestrial birds,1950,14.75,1090,5,1,2,VU,2017,1,1,1,1,27,6,NA,1950,13,101,0,0,0,0,5,1,1,2,5,2,2,2,2,1,4,3,4,5,1,5,4,4,4,6,6,7,9,2,2,8,4,1994,12,VU
Snow Goose,Anser caerulescens,Anatidae,Terrestrial,Aves,Terrestrial birds,2087,27.5,730,4,1,2,LC,2016,0,0,0,1,1,6,NA,2087,241,985,7,8,11,9,33,29,32,29,37,37,32,42,37,31,36,40,35,32,41,55,36,35,33,40,40,41,39,29,23,32,24,1988,8,LR/lc
Ross's Goose,Anser rossii,Anatidae,Terrestrial,Aves,Terrestrial birds,1715,22.5,570,4,1,2,LC,2016,0,0,0,1,1,6,NA,1715,23,45,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,2,0,1,4,2,4,4,1,7,3,1,1,2,4,3,1988,8,LR/lc
Emperor Goose,Anser canagicus,Anatidae,Marine,Aves,Marine birds,2148,12,365,4.9,1,2,NT,2016,1,1,0,1,5,6,NA,2148,21,61,1,0,0,1,1,4,1,3,2,0,1,1,1,3,9,3,1,3,2,3,3,4,1,1,4,1,1,2,0,4,0,1988,8,LR/lc
Canada Goose,Branta canadensis,Anatidae,Terrestrial,Aves,Terrestrial birds,3200,42,730,5,1,2,LC,2016,0,0,0,1,1,6,NA,3200,261,839,11,17,12,15,33,28,26,27,39,35,29,23,28,26,30,25,28,28,31,34,38,31,24,29,29,34,29,36,20,19,25,2006,9,LC
Cackling Goose,Branta hutchinsii,Anatidae,Terrestrial,Aves,Terrestrial birds,1940,18.3,730,5.2,1,2,LC,2016,NA,NA,NA,NA,NA,6,NA,1940,19,46,0,1,0,2,1,2,0,2,2,0,2,0,1,2,2,1,1,1,2,1,1,3,4,0,6,0,5,2,1,1,0,2006,9,LC
Barnacle Goose,Branta leucopsis,Anatidae,Terrestrial,Aves,Terrestrial birds,1687,28.2,730,4.5,1,2,LC,2016,0,0,0,1,1,6,NA,1687,118,429,1,2,3,1,16,14,10,7,5,14,12,17,8,7,20,11,17,17,21,25,21,19,14,18,21,30,16,13,15,23,11,1988,8,LR/lc
Brant Goose,Branta bernicla,Anatidae,Terrestrial,Aves,Terrestrial birds,1163,28.8,730,4,1,2,LC,2016,0,0,0,1,1,6,NA,1163,83,394,4,0,1,4,12,9,6,13,13,15,17,24,10,15,24,13,12,17,17,24,22,14,11,9,13,17,15,11,8,14,10,1988,8,LR/lc
Red-breasted Goose,Branta ruficollis,Anatidae,Terrestrial,Aves,Terrestrial birds,1150,NA,NA,5.5,1,2,VU,2017,1,1,0,1,9,4,NA,1150,4,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1994,12,VU
