common_name,latin_name,family,habitat,class,group,body_size_g,maximum_longevity_y,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,trophic_level,knowntraits,IUCN_status,IUCN_year_of_assessment,IUCN_threat_habitatloss,IUCN_threat_overexploit,IUCN_threat_invasivesp,IUCN_threat_climatechange,IUCN_nthreats,first_assess,first_status,n_assessment,WOS_1987,WOS_1988,WOS_1989,WOS_1990,WOS_1991,WOS_1992,WOS_1993,WOS_1994,WOS_1995,WOS_1996,WOS_1997,WOS_1998,WOS_1999,WOS_2000,WOS_2001,WOS_2002,WOS_2003,WOS_2004,WOS_2005,WOS_2006,WOS_2007,WOS_2008,WOS_2009,WOS_2010,WOS_2011,WOS_2012,WOS_2013,WOS_2014,WOS_2015,WOS_2016,WOS_2017
Bean Goose,Anser fabalis,Anatidae,Terrestrial,Aves,Terrestrial birds,3350,25.6,1093,5,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,0,0,0,4,0,0,1,1,1,0,1,0,3,0,0,0,0,0,1,1,4,2,0,2,4,1,1,1,5,4
Pink-footed Goose,Anser brachyrhynchus,Anatidae,Terrestrial,Aves,Terrestrial birds,2645,40.9,1095,4.7,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,0,1,0,6,4,2,1,1,6,2,4,2,5,6,1,2,5,7,9,8,14,11,7,5,10,10,8,8,11,9
Greater White-fronted Goose,Anser albifrons,Anatidae,Terrestrial,Aves,Terrestrial birds,2681,47,1095,5,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,9,0,0,1,1,7,2,1,2,5,4,3,3,7,4,5,5,4,9,4,9,3,10,5,8,12,12,10,5,3,12,7
Lesser White-fronted Goose,Anser erythropus,Anatidae,Terrestrial,Aves,Terrestrial birds,1950,14.75,1090,5,1,2,6,VU,2017,1,1,1,1,27,1994,VU,12,0,0,0,0,5,1,1,2,5,2,2,2,2,1,4,3,4,5,1,5,4,4,4,6,6,7,9,2,2,8,4
Snow Goose,Anser caerulescens,Anatidae,Terrestrial,Aves,Terrestrial birds,2087,27.5,730,4,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,7,8,11,9,33,29,32,29,37,37,32,42,37,31,36,40,35,32,41,55,36,35,33,40,40,41,39,29,23,32,24
Ross's Goose,Anser rossii,Anatidae,Terrestrial,Aves,Terrestrial birds,1715,22.5,570,4,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,2,0,1,4,2,4,4,1,7,3,1,1,2,4,3
Emperor Goose,Anser canagicus,Anatidae,Marine,Aves,Marine birds,2148,12,365,4.9,1,2,6,NT,2016,1,1,0,1,5,1988,LR/lc,8,1,0,0,1,1,4,1,3,2,0,1,1,1,3,9,3,1,3,2,3,3,4,1,1,4,1,1,2,0,4,0
Canada Goose,Branta canadensis,Anatidae,Terrestrial,Aves,Terrestrial birds,3200,42,730,5,1,2,6,LC,2016,0,0,0,1,1,2006,LC,9,11,17,12,15,33,28,26,27,39,35,29,23,28,26,30,25,28,28,31,34,38,31,24,29,29,34,29,36,20,19,25
Cackling Goose,Branta hutchinsii,Anatidae,Terrestrial,Aves,Terrestrial birds,1940,18.3,730,5.2,1,2,6,LC,2016,NA,NA,NA,NA,NA,2006,LC,9,0,1,0,2,1,2,0,2,2,0,2,0,1,2,2,1,1,1,2,1,1,3,4,0,6,0,5,2,1,1,0
Barnacle Goose,Branta leucopsis,Anatidae,Terrestrial,Aves,Terrestrial birds,1687,28.2,730,4.5,1,2,6,LC,2016,0,0,0,1,1,1988,LR/lc,8,1,2,3,1,16,14,10,7,5,14,12,17,8,7,20,11,17,17,21,25,21,19,14,18,21,30,16,13,15,23,11
