latin_name,status,year
Anser fabalis,LC,2016
Anser fabalis,LC,2015
Anser fabalis,LC,2012
Anser fabalis,LC,2009
Anser fabalis,LC,2008
Anser fabalis,LC,2004
Anser fabalis,LR/lc,2000
Anser fabalis,LR/lc,1994
Anser fabalis,LR/lc,1988
Anser brachyrhynchus,LC,2016
Anser brachyrhynchus,LC,2015
Anser brachyrhynchus,LC,2012
Anser brachyrhynchus,LC,2009
Anser brachyrhynchus,LC,2008
Anser brachyrhynchus,LC,2004
Anser brachyrhynchus,LR/lc,2000
Anser brachyrhynchus,LR/lc,1994
Anser brachyrhynchus,LR/lc,1988
Anser albifrons,LC,2016
Anser albifrons,LC,2015
Anser albifrons,LC,2012
Anser albifrons,LC,2009
Anser albifrons,LC,2008
Anser albifrons,LC,2004
Anser albifrons,LR/lc,2000
Anser albifrons,LR/lc,1994
Anser albifrons,LR/lc,1988
Anser erythropus,VU,2017
Anser erythropus,VU,2016
Anser erythropus,VU,2015
Anser erythropus,VU,2013
Anser erythropus,VU,2012
Anser erythropus,VU,2008
Anser erythropus,VU,2006
Anser erythropus,VU,2004
Anser erythropus,VU,2000
Anser erythropus,VU,1996
Anser erythropus,VU,1994
Anser erythropus,T,1988
Anser caerulescens,LC,2016
Anser caerulescens,LC,2012
Anser caerulescens,LC,2009
Anser caerulescens,LC,2008
Anser caerulescens,LC,2004
Anser caerulescens,LR/lc,2000
Anser caerulescens,LR/lc,1994
Anser caerulescens,LR/lc,1988
Anser rossii,LC,2016
Anser rossii,LC,2012
Anser rossii,LC,2009
Anser rossii,LC,2008
Anser rossii,LC,2004
Anser rossii,LR/lc,2000
Anser rossii,LR/lc,1994
Anser rossii,LR/lc,1988
Anser canagicus,NT,2016
Anser canagicus,NT,2012
Anser canagicus,NT,2008
Anser canagicus,NT,2006
Anser canagicus,NT,2004
Anser canagicus,LR/nt,2000
Anser canagicus,LR/lc,1994
Anser canagicus,LR/lc,1988
Branta canadensis,LC,2016
Branta canadensis,LC,2012
Branta canadensis,LC,2009
Branta canadensis,LC,2008
Branta canadensis,LC,2006
Branta canadensis,NR,2004
Branta canadensis,NR,2000
Branta canadensis,NR,1994
Branta canadensis,NR,1988
Branta hutchinsii,LC,2016
Branta hutchinsii,LC,2012
Branta hutchinsii,LC,2009
Branta hutchinsii,LC,2008
Branta hutchinsii,LC,2006
Branta hutchinsii,NR,2004
Branta hutchinsii,NR,2000
Branta hutchinsii,NR,1994
Branta hutchinsii,NR,1988
Branta leucopsis,LC,2016
Branta leucopsis,LC,2012
Branta leucopsis,LC,2009
Branta leucopsis,LC,2008
Branta leucopsis,LC,2004
Branta leucopsis,LR/lc,2000
Branta leucopsis,LR/lc,1994
Branta leucopsis,LR/lc,1988
Branta bernicla,LC,2016
Branta bernicla,LC,2012
Branta bernicla,LC,2009
Branta bernicla,LC,2008
Branta bernicla,LC,2004
Branta bernicla,LR/lc,2000
Branta bernicla,LR/lc,1994
Branta bernicla,LR/lc,1988
Branta ruficollis,VU,2017
Branta ruficollis,VU,2016
Branta ruficollis,VU,2015
Branta ruficollis,EN,2012
Branta ruficollis,EN,2008
Branta ruficollis,EN,2007
Branta ruficollis,VU,2006
Branta ruficollis,VU,2004
Branta ruficollis,VU,2000
Branta ruficollis,VU,1996
Branta ruficollis,VU,1994
Branta ruficollis,T,1988
Cygnus columbianus,LC,2016
Cygnus columbianus,LC,2015
Cygnus columbianus,LC,2012
Cygnus columbianus,LC,2009
Cygnus columbianus,LC,2008
Cygnus columbianus,LC,2004
Cygnus columbianus,LR/lc,2000
